group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
query_tail,paraphrase,201235,8192,8192,0.5,207278,9,-2.283317804336548,-3.190054734547933,-0.9067369302113852
answer_address_inactive_control,paraphrase,201235,8192,8192,0.5,207278,3,-2.283317804336548,-2.3247636953989663,-0.04144589106241847
query_tail_inactive_control,paraphrase,201235,8192,8192,0.5,207278,9,-2.283317804336548,-2.220813830693563,0.06250397364298488
answer_address,paraphrase,201236,8192,8192,0.5,331504,3,-2.13602352142334,-2.219422181447347,-0.08339866002400731
non_address_core,paraphrase,201236,8192,8192,0.5,331504,16,-2.13602352142334,-3.687827189763387,-1.5518036683400473
strong13,paraphrase,201236,8192,8192,0.5,331504,13,-2.13602352142334,-3.4380760192871094,-1.3020524978637695
core19,paraphrase,201236,8192,8192,0.5,331504,19,-2.13602352142334,-3.6461835702260337,-1.5101600488026938
first_token_sink,paraphrase,201236,8192,8192,0.5,331504,6,-2.13602352142334,-2.729697863260905,-0.593674341837565
query_tail,paraphrase,201236,8192,8192,0.5,331504,9,-2.13602352142334,-3.2087814013163247,-1.0727578798929849
answer_address_inactive_control,paraphrase,201236,8192,8192,0.5,331504,3,-2.13602352142334,-2.1464196840922036,-0.010396162668863784
query_tail_inactive_control,paraphrase,201236,8192,8192,0.5,331504,9,-2.13602352142334,-2.1880484422047934,-0.0520249207814536
answer_address,paraphrase,201237,8192,8191,0.5,888821,3,-2.0106457074483237,-2.062746524810791,-0.0521008173624673
non_address_core,paraphrase,201237,8192,8191,0.5,888821,16,-2.0106457074483237,-3.354314843813578,-1.3436691363652544
strong13,paraphrase,201237,8192,8191,0.5,888821,13,-2.0106457074483237,-3.1043900648752847,-1.093744357426961
core19,paraphrase,201237,8192,8191,0.5,888821,19,-2.0106457074483237,-3.3126408656438193,-1.3019951581954956
first_token_sink,paraphrase,201237,8192,8191,0.5,888821,6,-2.0106457074483237,-2.521031459172567,-0.5103857517242432
query_tail,paraphrase,201237,8192,8191,0.5,888821,9,-2.0106457074483237,-2.958545207977295,-0.9478995005289712
answer_address_inactive_control,paraphrase,201237,8192,8191,0.5,888821,3,-2.0106457074483237,-2.0106454690297446,2.384185791015625e-07
query_tail_inactive_control,paraphrase,201237,8192,8191,0.5,888821,9,-2.0106457074483237,-2.114826202392578,-0.10418049494425441
answer_address,paraphrase,201238,8192,8192,0.5,987809,3,-1.9378094673156738,-2.0420440832773843,-0.10423461596171046
non_address_core,paraphrase,201238,8192,8192,0.5,987809,16,-1.9378094673156738,-3.0835257371266684,-1.1457162698109946
strong13,paraphrase,201238,8192,8192,0.5,987809,13,-1.9378094673156738,-2.9169534047444663,-0.9791439374287925
core19,paraphrase,201238,8192,8192,0.5,987809,19,-1.9378094673156738,-3.021038214365641,-1.0832287470499673
first_token_sink,paraphrase,201238,8192,8192,0.5,987809,6,-1.9378094673156738,-2.3023058573404946,-0.3644963900248208
query_tail,paraphrase,201238,8192,8192,0.5,987809,9,-1.9378094673156738,-2.8336291313171387,-0.8958196640014648
answer_address_inactive_control,paraphrase,201238,8192,8192,0.5,987809,3,-1.9378094673156738,-1.9169642130533855,0.020845254262288337
query_tail_inactive_control,paraphrase,201238,8192,8192,0.5,987809,9,-1.9378094673156738,-2.0315328439076743,-0.09372337659200047
answer_address,paraphrase,201239,8192,8192,0.5,845811,3,-2.052590290705363,-2.14641006787618,-0.09381977717081735
non_address_core,paraphrase,201239,8192,8192,0.5,845811,16,-2.052590290705363,-3.500300645828247,-1.4477103551228843
strong13,paraphrase,201239,8192,8192,0.5,845811,13,-2.052590290705363,-3.208831469217936,-1.1562411785125732
core19,paraphrase,201239,8192,8192,0.5,845811,19,-2.052590290705363,-3.500299056371053,-1.4477087656656904
first_token_sink,paraphrase,201239,8192,8192,0.5,845811,6,-2.052590290705363,-2.542058785756429,-0.4894684950510664
query_tail,paraphrase,201239,8192,8192,0.5,845811,9,-2.052590290705363,-3.062942902247111,-1.010352611541748
answer_address_inactive_control,paraphrase,201239,8192,8192,0.5,845811,3,-2.052590290705363,-2.0838382244110107,-0.031247933705647934
query_tail_inactive_control,paraphrase,201239,8192,8192,0.5,845811,9,-2.052590290705363,-2.125487724939982,-0.07289743423461914
answer_address,paraphrase,201240,8192,8191,0.5,825220,3,-2.0524028142293296,-2.1149341265360513,-0.06253131230672171
non_address_core,paraphrase,201240,8192,8191,0.5,825220,16,-2.0524028142293296,-3.354334910710653,-1.3019320964813232
strong13,paraphrase,201240,8192,8191,0.5,825220,13,-2.0524028142293296,-3.125251293182373,-1.0728484789530435
core19,paraphrase,201240,8192,8191,0.5,825220,19,-2.0524028142293296,-3.396006981531779,-1.3436041673024492
first_token_sink,paraphrase,201240,8192,8191,0.5,825220,6,-2.0524028142293296,-2.500233014424642,-0.4478302001953125
query_tail,paraphrase,201240,8192,8191,0.5,825220,9,-2.0524028142293296,-3.041927973429362,-0.9895251592000323
