group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
strong13_inactive_control,alias,101236,8192,8192,0.1,896301,13,-1.7837336858113606,-1.721498171488444,0.06223551432291652
core19_inactive_control,alias,101236,8192,8192,0.1,896301,19,-1.7837336858113606,-1.793948809305827,-0.010215123494466294
first_token_sink_inactive_control,alias,101236,8192,8192,0.1,896301,6,-1.7837336858113606,-1.7317867279052734,0.051946957906087166
query_tail_inactive_control,alias,101236,8192,8192,0.1,896301,9,-1.7837336858113606,-1.7734098434448242,0.010323842366536384
answer_address,alias,101237,8192,8192,0.1,847571,3,-1.7244116465250652,-2.0807838439941406,-0.35637219746907545
non_address_core,alias,101237,8192,8192,0.1,847571,16,-1.7244116465250652,-2.9895311991373696,-1.2651195526123045
strong13,alias,101237,8192,8192,0.1,847571,13,-1.7244116465250652,-3.239863713582357,-1.5154520670572917
core19,alias,101237,8192,8192,0.1,847571,19,-1.7244116465250652,-3.2821226119995117,-1.5577109654744465
first_token_sink,alias,101237,8192,8192,0.1,847571,6,-1.7244116465250652,-2.0353333155314126,-0.31092166900634743
query_tail,alias,101237,8192,8192,0.1,847571,9,-1.7244116465250652,-2.842665672302246,-1.118254025777181
answer_address_inactive_control,alias,101237,8192,8192,0.1,847571,3,-1.7244116465250652,-1.7447086970011394,-0.02029705047607422
non_address_inactive_control,alias,101237,8192,8192,0.1,847571,16,-1.7244116465250652,-1.818168004353841,-0.0937563578287759
strong13_inactive_control,alias,101237,8192,8192,0.1,847571,13,-1.7244116465250652,-1.7034441630045574,0.020967483520507812
core19_inactive_control,alias,101237,8192,8192,0.1,847571,19,-1.7244116465250652,-1.755048433939616,-0.03063678741455078
first_token_sink_inactive_control,alias,101237,8192,8192,0.1,847571,6,-1.7244116465250652,-1.6834424336751301,0.040969212849935044
query_tail_inactive_control,alias,101237,8192,8192,0.1,847571,9,-1.7244116465250652,-1.7761723200480144,-0.05176067352294922
answer_address,alias,101238,8192,8193,0.1,223928,3,-1.9181777636210124,-2.1169843673706055,-0.19880660374959302
non_address_core,alias,101238,8192,8193,0.1,223928,16,-1.9181777636210124,-3.442018667856852,-1.5238409042358396
strong13,alias,101238,8192,8193,0.1,223928,13,-1.9181777636210124,-3.273306369781494,-1.3551286061604817
core19,alias,101238,8192,8193,0.1,223928,19,-1.9181777636210124,-3.4816527366638184,-1.563474973042806
first_token_sink,alias,101238,8192,8193,0.1,223928,6,-1.9181777636210124,-2.2622218132019043,-0.34404404958089185
query_tail,alias,101238,8192,8193,0.1,223928,9,-1.9181777636210124,-2.9847997029622397,-1.0666219393412273
answer_address_inactive_control,alias,101238,8192,8193,0.1,223928,3,-1.9181777636210124,-1.866243839263916,0.05193392435709643
non_address_inactive_control,alias,101238,8192,8193,0.1,223928,16,-1.9181777636210124,-1.8764820098876953,0.04169575373331713
strong13_inactive_control,alias,101238,8192,8193,0.1,223928,13,-1.9181777636210124,-1.7617430686950684,0.15643469492594408
core19_inactive_control,alias,101238,8192,8193,0.1,223928,19,-1.9181777636210124,-1.865476131439209,0.05270163218180346
first_token_sink_inactive_control,alias,101238,8192,8193,0.1,223928,6,-1.9181777636210124,-1.7621245384216309,0.15605322519938158
query_tail_inactive_control,alias,101238,8192,8193,0.1,223928,9,-1.9181777636210124,-1.8551982243855794,0.06297953923543309
answer_address,alias,101239,8192,8192,0.1,548522,3,-1.8470934232076008,-1.8902174631754558,-0.043124039967854966
non_address_core,alias,101239,8192,8192,0.1,548522,16,-1.8470934232076008,-2.9633913040161133,-1.1162978808085124
strong13,alias,101239,8192,8192,0.1,548522,13,-1.8470934232076008,-3.0062500635782876,-1.1591566403706868
core19,alias,101239,8192,8192,0.1,548522,19,-1.8470934232076008,-3.0264132817586265,-1.1793198585510256
first_token_sink,alias,101239,8192,8192,0.1,548522,6,-1.8470934232076008,-2.086214542388916,-0.23912111918131518
query_tail,alias,101239,8192,8192,0.1,548522,9,-1.8470934232076008,-2.7336392402648926,-0.8865458170572917
answer_address_inactive_control,alias,101239,8192,8192,0.1,548522,3,-1.8470934232076008,-1.8055906295776367,0.04150279362996412
non_address_inactive_control,alias,101239,8192,8192,0.1,548522,16,-1.8470934232076008,-1.8265784581502278,0.020514965057373047
strong13_inactive_control,alias,101239,8192,8192,0.1,548522,13,-1.8470934232076008,-1.742923895517985,0.10416952768961574
